ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,total_revenue,operating_costs,proprietary_expenses,gross_profit,management_fee,total_operating_revenues,capex,roe,roic,roic_ttm,ev_ebitda,pe,pb,pcf,ps,market_cap,roa,short_debt_ratio,long_debt_ratio,debt_to_capital,asset_to_liab,equity_multiplier,current_ratio,net_income,management_compensation,beta,calculated_total,total_check,sector
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510,316,321,1147,BBB,High,82722000000.0,54401000000.0,21551000000.0,28321000000.0,,82722000000.0,4943000000.0,3.4267,2.1967,2.1935,32.341189588207,53.3709080706677,1.76670918114527,-38.6576476007024,2.02910357440886,281536729785.72,1.7213,30.5219,69.4781,33.7355,46.7773,1.8789,1.0009,3505000000.0,98846455.0,-0.0023084020989543,1147,True,Consumer
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,A,High,BB,Medium,B,Medium,510,303,255,1068,BBB,High,156735000000.0,126892000000.0,19529000000.0,29843000000.0,,156735000000.0,9238000000.0,15.5783,5.6505,4.8852,7.02096124516053,6.87940101538152,1.00808310253127,-42.8732557633626,0.436022392489233,87945000000.0,3.6768,47.5474,52.4526,62.8519,72.6232,3.6527,1.1018,9708000000.0,74960670.0,0.0590650060679785,1068,True,Consumer
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255,385,240,880,BB,Medium,15228000000.0,9379000000.0,3634000000.0,5849000000.0,,15228000000.0,256000000.0,71.72,34.3969,32.5068,17.1187778677844,32.598030005042,20.6676854171311,600.347052592857,3.31160706710008,26544359039.2,21.2572,41.4177,58.5823,48.7287,63.9562,2.7744,2.4761,1613000000.0,25446581.0,0.167678210345879,880,True,Industrials
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570,298,303,1171,BBB,High,11737065000.0,8793639000.0,2003438000.0,2943426000.0,,11737065000.0,580742000.0,0.3073,0.234,0.2331,6.97426195618439,239.979486340555,0.756257290810008,25.1684976057625,0.516207594627788,11952647620.0,0.1826,50.3118,49.6882,26.0292,43.2176,1.7611,1.92,25783000.0,10473138.0,0.065696272733951,1171,True,Consumer
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492,310,250,1052,BBB,High,16681254000.0,,15981218000.0,,,16681254000.0,353286000.0,,5.5407,5.3466,145.438173008141,119.032752887299,-95.8514684211672,48.623935449818,2.11207313287718,26891300360.51,2.4859,52.8965,47.1035,106.6397,95.3613,21.5579,0.9827,409193000.0,207279704.0,0.135467934583915,1052,True,Consumer
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547,318,313,1178,BBB,High,4110000000.0,2460000000.0,2433000000.0,1650000000.0,936000000.0,4110000000.0,780000000.0,62.3447,9.9973,9.225,142.63,19.2184071425764,9.07192009409946,7.80494832303259,8.56645301343066,28756960000.0,6.1573,21.2261,78.7739,80.4572,83.4112,6.0282,1.7283,1357000000.0,31148777.0,0.310629716950374,1178,True,Consumer
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560,350,345,1255,A,High,7107000000.0,4562000000.0,1826000000.0,2545000000.0,,7107000000.0,251000000.0,95.5533,14.299,14.1414,20.0000808039502,26.7419354141558,22.2208168369424,-89.5273489952174,1.73839512612073,21440097368.76,7.6486,32.8606,67.1394,82.9813,88.1617,8.4472,0.9669,471000000.0,24271823.0,0.0293394181173034,1255,True,Consumer
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203,200,205,608,B,Medium,29696016.1387589,14978011.084628,22845259.8857077,14718005.0541309,11063317.3477299,29696016.1387589,232366.252189645,-28.9498,-28.9498,-33.4683,-9.39368016061471,-4.66656361799627,1.56181934614193,-13.6617821071401,1.08062258115883,33588992.86,-10.2419,88.3946,11.6054,0.0,69.7524,3.306,0.2231,-6977318.29537949,0.0,0.293104521685524,608,True,Consumer
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,270,211,265,746,B,Medium,48971000000.0,,47171000000.0,,,48971000000.0,2546000000.0,,0.4193,0.4253,31.8273980919057,55.6839525734646,-1.21949680579928,39.7295616675843,0.144409180470687,11633187606.2,0.1962,30.4843,69.5157,119.418,108.9607,-11.1599,0.7103,127000000.0,29008473.0,-0.278506195325236,746,True,Transport
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220,221,300,741,B,Medium,,,46713000.0,,,187851000.0,126000.0,1.2527,,,,33.1705740590164,0.495262541267697,12.3078164087591,0.284333056636014,49927511.2,0.4155,,,72.1594,72.1594,3.5919,,1525000.0,2576492.0,0.57788651403081,741,True,Financials
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,BB,Medium,B,Medium,B,Medium,311,256,218,785,BB,Medium,222818000.0,189191000.0,92625000.0,33627000.0,46658000.0,222818000.0,3708000.0,-30.2327,-18.4009,-19.9002,-10.8371422186466,-110.334333661762,39.6700533499756,-1319.97635173694,32.8782627621646,140440220.0,-16.2633,61.9796,38.0204,44.6516,54.7669,2.2108,1.3217,-66397000.0,6301773.0,0.568262549370667,785,True,Tech
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,A,High,BB,Medium,B,Medium,500,300,223,1023,BBB,High,888788000.0,651216000.0,110823000.0,237572000.0,,888788000.0,54024000.0,19.5496,17.6425,15.8894,40.8515053898496,67.7162642484259,12.1222008728157,2760.79924459789,7.64759170938402,4172297848.55,12.3327,57.4934,42.5066,11.2398,31.108,1.4515,2.3983,100376000.0,7041032.0,0.124723774997727,1023,True,Industrials
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,355,281,255,891,BB,Medium,394328000000.0,223546000000.0,51345000000.0,170782000000.0,,394328000000.0,10708000000.0,175.4593,55.6703,58.4529,24.8678136888264,37.2004197729527,73.2695274431639,-338.998675547845,9.41529258536041,2901644912070.0,28.2924,50.9734,49.0266,70.3223,85.6354,6.9615,0.8794,99803000000.0,211418319.0,0.114351954500793,891,True,Tech
abeo,Abeona Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,205,306,310,821,BB,Medium,1414000.0,5658000.0,46671000.0,-4244000.0,17256000.0,1414000.0,130000.0,-101.6075,-101.6075,-162.4678,,-6.22285040281137,9.23068157355854,-10.1764138415589,174.69750324611,49608227.214,-61.8183,20.77,79.23,0.0,58.3253,2.3995,6.8259,-39696000.0,4266034.0,0.562160008972111,821,True,Healthcare
abnb,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,A,High,A,High,BBB,High,505,570,400,1475,A,High,8399000000.0,1499000000.0,5098000000.0,6900000000.0,950000000.0,8399000000.0,25000000.0,36.6303,26.4658,25.0828,379.461857262334,41.5067614027892,14.1317085135755,33.0691495519697,9.35495884456245,107007118760.0,11.8032,76.1405,23.8595,26.3283,65.3323,2.8845,1.8627,1893000000.0,31069497.0,0.0997444645282375,1475,True,Consumer
abos,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205,201,200,606,B,Medium,,,45237000.0,,12876000.0,,161000.0,-20.7055,,,-1.37184092307386,-3.60421489989733,0.818234584823202,19.4561322269807,,273599305.2,-21.8,100.0,,0.0,3.9738,1.0414,23.0836,-42856000.0,6034006.0,0.17116269453463,606,True,Healthcare
absi,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,B,Medium,B,Medium,205,224,230,659,B,Medium,5747000.0,,112497000.0,,,5747000.0,16175000.0,-32.7558,-31.4447,-36.1638,-4.77500988517998,-4.20099555250515,1.60597213494938,-2.170044107069,76.6837023560118,759713895.2,-32.6796,64.9654,35.0346,5.4006,14.5149,1.1698,6.1732,-104904000.0,13124158.0,-0.141150614229831,659,True,Healthcare
abus,Arbutus Biopharma Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,203,204,338,745,B,Medium,39019000.0,,102242000.0,,17834000.0,39019000.0,512000.0,-45.3529,-45.3529,-50.7526,-6.86948764276125,-12.5241505787837,6.35633679157046,-11.0803938883652,22.2936877572465,564002293.04,-35.5421,56.1016,43.8984,0.0,29.97,1.428,4.5999,-69456000.0,6011929.0,0.295363821437847,745,True,Healthcare
abvc,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,220,212,205,637,B,Medium,969783.0,286415.0,15797780.0,683368.0,,969783.0,119692.0,-275.0446,-212.2416,-328.9691,,-1.64199226595923,8.70295035314506,-5.21250588239615,27.8070778926832,98060231.58,-165.5159,87.9171,12.0829,37.9332,67.164,3.0454,0.5133,-16312374.0,2305263.0,1.76672677138051,637,True,Healthcare
